name,approx_roster_start,approx_roster_end,source,source_url,image_url,local_path
Gary Goodridge,1996-02-16,1999-03-05,Sherdog,https://www.sherdog.com/fighter/Gary-Goodridge-129,https://www.sherdog.com/image_crop/200/300/_images/fighter/20141224115951_IMG_0240.JPG,downloaded_photos/old_fighters/gary-goodridge.jpg
Guy Mezger,1994-12-16,1999-03-05,Sherdog,https://www.sherdog.com/fighter/Guy-Mezger-14,https://www.sherdog.com/image_crop/200/300/_images/fighter/20141225070113_mezger.JPG,downloaded_photos/old_fighters/guy-mezger.jpg
Jeff Monson,2000-09-22,2006-11-18,Wikipedia,https://en.wikipedia.org/wiki/Jeff_Monson,https://upload.wikimedia.org/wikipedia/commons/5/59/Jeff_Monson.jpg,downloaded_photos/old_fighters/jeff-monson.jpg
Josh Barnett,2000-11-17,2016-09-03,Wikipedia,https://en.wikipedia.org/wiki/Josh_Barnett,https://upload.wikimedia.org/wikipedia/commons/a/ae/Josh_Barnett_in_April_2024.jpg,downloaded_photos/old_fighters/josh-barnett.jpg
Brendan Schaub,2009-12-05,2014-12-06,Wikipedia,https://en.wikipedia.org/wiki/Brendan_Schaub,https://upload.wikimedia.org/wikipedia/commons/5/52/Brendan_Schaub%2C_co-host_of_%22The_Fighter_and_the_Kid%22_Podcast.jpg,downloaded_photos/old_fighters/brendan-schaub.jpg
Todd Duffee,2009-08-29,2019-09-14,Wikipedia,https://en.wikipedia.org/wiki/Todd_Duffee,https://upload.wikimedia.org/wikipedia/commons/3/35/Todd_Image_%28cropped%29.jpg,downloaded_photos/old_fighters/todd-duffee.jpg
Gabriel Gonzaga,2005-11-19,2016-04-10,Wikipedia,https://en.wikipedia.org/wiki/Gabriel_Gonzaga,https://upload.wikimedia.org/wikipedia/commons/c/ce/GabrielGonzaga2.png,downloaded_photos/old_fighters/gabriel-gonzaga.jpg
Rich Clementi,2003-02-28,2009-02-07,Wikipedia,https://en.wikipedia.org/wiki/Rich_Clementi,https://upload.wikimedia.org/wikipedia/en/a/a3/Rich_Clementi_%40_UFC_69.jpg,downloaded_photos/old_fighters/rich-clementi.jpg
Yves Edwards,2001-09-28,2014-11-22,Wikipedia,https://en.wikipedia.org/wiki/Yves_Edwards,https://upload.wikimedia.org/wikipedia/commons/3/30/Dan_Hellie%2C_Dana_White_and_Yves_Edwards.jpg,downloaded_photos/old_fighters/yves-edwards.jpg
Spencer Fisher,2005-10-03,2012-06-22,Wikipedia,https://en.wikipedia.org/wiki/Spencer_Fisher,https://upload.wikimedia.org/wikipedia/commons/a/ad/Spencer_The_King_Fisher.jpg,downloaded_photos/old_fighters/spencer-fisher.jpg
Hermes Franca,2003-04-25,2009-09-19,Wikipedia,https://en.wikipedia.org/wiki/Hermes_Fran%C3%A7a,https://upload.wikimedia.org/wikipedia/commons/c/ce/HermesFranca.png,downloaded_photos/old_fighters/hermes-franca.jpg
Joe Lauzon,2006-09-23,2019-10-18,Wikipedia,https://en.wikipedia.org/wiki/Joe_Lauzon,https://upload.wikimedia.org/wikipedia/commons/e/ea/JLauzon.jpg,downloaded_photos/old_fighters/joe-lauzon.jpg
Jim Miller,2008-10-18,2026-05-09,Wikipedia,https://en.wikipedia.org/wiki/Jim_Miller_(fighter),https://upload.wikimedia.org/wikipedia/commons/e/e5/Jim.miller.2.jpg,downloaded_photos/old_fighters/jim-miller.jpg
Nate Diaz,2007-06-23,2022-09-10,Wikipedia,https://en.wikipedia.org/wiki/Nate_Diaz,https://upload.wikimedia.org/wikipedia/commons/1/13/Nate_Diaz_Oct_2019.jpg,downloaded_photos/old_fighters/nate-diaz.jpg
Holly Holm,2015-02-28,2024-04-13,Wikipedia,https://en.wikipedia.org/wiki/Holly_Holm,https://upload.wikimedia.org/wikipedia/commons/f/f1/Holly_Holm_at_UFC_246.jpg,downloaded_photos/old_fighters/holly-holm.jpg
Germaine de Randamie,2013-07-27,2024-04-06,Wikipedia,https://en.wikipedia.org/wiki/Germaine_de_Randamie,https://upload.wikimedia.org/wikipedia/commons/a/a5/Germaine_de_Randamie_at_UFC_Copenhagen.jpg,downloaded_photos/old_fighters/germaine-de-randamie.jpg
