first_name,last_name,nickname,height,weight,reach,stance,wins,losses,draws,belt,fighter_url
Tom,Aaron,,--,155 lbs.,--,,5,3,0,,http://ufcstats.com/fighter-details/93fe7332d16c6ad9
Danny,Abbadi,The Assassin,"5' 11""",155 lbs.,--,Orthodox,4,6,0,,http://ufcstats.com/fighter-details/15df64c02b6b0fde
Nariman,Abbasov,Bayraktar,"5' 8""",155 lbs.,"66.0""",Orthodox,28,4,0,,http://ufcstats.com/fighter-details/59a9d6dac61c2540
Darion,Abbey,,"6' 2""",265 lbs.,"80.0""",Orthodox,9,5,0,,http://ufcstats.com/fighter-details/4961467134abd8be
David,Abbott,Tank,"6' 0""",265 lbs.,--,Switch,10,15,0,,http://ufcstats.com/fighter-details/b361180739bed4b0
Hamdy,Abdelwahab,The Hammer,"6' 2""",265 lbs.,"72.0""",Southpaw,7,1,0,,http://ufcstats.com/fighter-details/3329d692aea4dc28
Farida,Abdueva,,--,115 lbs.,--,,6,1,0,,http://ufcstats.com/fighter-details/8f3837b4c06f3d1e
Mansur,Abdul-Malik,,"6' 2""",185 lbs.,"80.0""",Orthodox,9,1,1,,http://ufcstats.com/fighter-details/841695e02c99a521
Shamil,Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,20,8,0,,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
Hiroyuki,Abe,Abe Ani,"5' 6""",145 lbs.,--,Orthodox,8,15,3,,http://ufcstats.com/fighter-details/c0ed7b208197e8de
Daichi,Abe,,"5' 11""",170 lbs.,"71.0""",Orthodox,6,2,0,,http://ufcstats.com/fighter-details/5140122c3eecd307
Papy,Abedi,Makambo,"5' 11""",185 lbs.,--,Southpaw,10,4,0,,http://ufcstats.com/fighter-details/c9f6385af6df66d7
Ricardo,Abreu,Demente,"5' 11""",185 lbs.,--,Orthodox,5,1,0,,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd
Klidson,Abreu,White Bear,"6' 0""",205 lbs.,"74.0""",Orthodox,15,4,0,,http://ufcstats.com/fighter-details/7279654c7674cd24
Cyborg,Abreu,,--,--,--,,0,0,0,,http://ufcstats.com/fighter-details/f689bd7bbd14b392
Daniel,Acacio,,"5' 8""",180 lbs.,--,Orthodox,30,18,0,,http://ufcstats.com/fighter-details/1c5879330d42255f
John,Adajar,The Outlaw,"5' 9""",170 lbs.,"75.0""",Orthodox,6,2,0,,http://ufcstats.com/fighter-details/989b85f6540c86b1
Scott,Adams,,"6' 0""",225 lbs.,--,Southpaw,8,1,0,,http://ufcstats.com/fighter-details/2620f3eb21c79614
Juan,Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",Orthodox,5,3,0,,http://ufcstats.com/fighter-details/83b00f7597e5ac83
Anthony,Adams,Sugafoot,"6' 1""",185 lbs.,"76.0""",Orthodox,8,2,0,,http://ufcstats.com/fighter-details/a77633a989013265
Zarrukh,Adashev,The Lion,"5' 5""",125 lbs.,"65.0""",Southpaw,4,4,0,,http://ufcstats.com/fighter-details/79cb2a690b9ba5e8
Israel,Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",Switch,24,6,0,,http://ufcstats.com/fighter-details/1338e2c7480bdf9e
Sam,Adkins,The Experience,"6' 3""",225 lbs.,--,Orthodox,7,20,2,,http://ufcstats.com/fighter-details/0e9869d712e81f8f
Mohamed,Ado,,"5' 11""",170 lbs.,"76.0""",Switch,5,1,0,,http://ufcstats.com/fighter-details/7a846fcbf182a7c8
Nick,Agallar,,"5' 8""",155 lbs.,--,Orthodox,24,6,0,,http://ufcstats.com/fighter-details/ebc5af72ad5a28cb
Mariya,Agapova,Money Mashka,"5' 6""",125 lbs.,"68.0""",Southpaw,10,5,0,,http://ufcstats.com/fighter-details/a08ddd04eaffd81d
Kantharaj,Agasa,Kannadiga,--,135 lbs.,--,,12,3,0,,http://ufcstats.com/fighter-details/26f4288e83188c61
Marcelo,Aguiar,,"5' 10""",170 lbs.,--,Orthodox,2,3,1,,http://ufcstats.com/fighter-details/44aa652b181bcf68
Fabio,Aguiar,,"6' 0""",185 lbs.,--,,17,1,0,,http://ufcstats.com/fighter-details/501821d7fb7b95c1
Edwin,Aguilar,Tigre,"5' 10""",185 lbs.,--,,26,19,0,,http://ufcstats.com/fighter-details/6cadc0a0ba7dc015
Jessica,Aguilar,Jag,"5' 3""",115 lbs.,"63.0""",Orthodox,20,8,0,,http://ufcstats.com/fighter-details/8f382b3baa954d2a
Kevin,Aguilar,Angel of Death,"5' 7""",155 lbs.,"73.0""",Orthodox,17,5,0,,http://ufcstats.com/fighter-details/cf946e03ba2e7666
Jesus,Aguilar,,"5' 4""",125 lbs.,"62.0""",Orthodox,12,4,0,,http://ufcstats.com/fighter-details/c051c2e12d692b8a
Christian,Aguilera,The Beast,"5' 9""",170 lbs.,"72.0""",Switch,14,8,0,,http://ufcstats.com/fighter-details/ae071698e1a3ccd4
Nick,Aguirre,Slick,"5' 9""",135 lbs.,"74.0""",Southpaw,7,2,0,,http://ufcstats.com/fighter-details/0978385b2bd9ef9b
,Agulali,,"5' 9""",125 lbs.,"67.0""",Switch,13,2,0,,http://ufcstats.com/fighter-details/b2efa582adf73604
Ahejiang,Ailinuer,,--,145 lbs.,--,,15,3,0,,http://ufcstats.com/fighter-details/ff584c17bccbae0b
Mike,Aina,Iron,"5' 9""",155 lbs.,--,Orthodox,14,6,1,,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a
Ashiek,Ajim,Peak Physique,"5' 8""",135 lbs.,"71.0""",Switch,6,2,0,,http://ufcstats.com/fighter-details/49dea784f6cfed71
Hitomi,Akano,Girlfight Monster,"5' 4""",135 lbs.,--,Southpaw,18,10,0,,http://ufcstats.com/fighter-details/2eada40ac8801559
Omari,Akhmedov,Wolverine,"6' 0""",185 lbs.,"73.0""",Orthodox,21,6,1,,http://ufcstats.com/fighter-details/16690d100f995f8f
Yoshihiro,Akiyama,,"5' 10""",170 lbs.,"75.0""",Orthodox,14,6,0,,http://ufcstats.com/fighter-details/b0550072e5f0afa7
Rostem,Akman,,"5' 10""",170 lbs.,"72.0""",Switch,6,2,0,,http://ufcstats.com/fighter-details/1fc64507a0cb38cf
Razak,Al-Hassan,,"6' 2""",205 lbs.,--,Orthodox,13,5,0,,http://ufcstats.com/fighter-details/38b50fd1e1b5b656
Abdul-Kareem,Al-Selwady,Pride of Palestine,"5' 8""",155 lbs.,"69.0""",Orthodox,16,4,0,,http://ufcstats.com/fighter-details/597499ac7a5aac62
Mostapha,Al-Turk,,"6' 2""",245 lbs.,"77.0""",Orthodox,6,6,0,,http://ufcstats.com/fighter-details/1cf1310684a841f5
Herdem,Alacabek,,"6' 2""",205 lbs.,"75.0""",Orthodox,5,1,0,,http://ufcstats.com/fighter-details/7578cc6bd750206b
Javi,Alanis,,"5' 6""",135 lbs.,--,,0,4,0,,http://ufcstats.com/fighter-details/2144954270be834d
Alatengheili,,The Mongolian Knight,"5' 5""",135 lbs.,"66""",Orthodox,17,10,2,,http://ufcstats.com/fighter-details/1897b7b913736a7c
Amir,Albazi,The Prince,"5' 5""",125 lbs.,"68.0""",Orthodox,17,3,0,,http://ufcstats.com/fighter-details/6d35bf94f7d30241
Brett,Albee,,--,225 lbs.,--,,3,2,0,,http://ufcstats.com/fighter-details/9b28292abe3166d5
John,Albert,Prince,"5' 8""",135 lbs.,"68.0""",Orthodox,6,5,0,,http://ufcstats.com/fighter-details/7bd94b60d7521e4a
Junior,Albini,Baby,"6' 3""",264 lbs.,"74.0""",Orthodox,14,6,0,,http://ufcstats.com/fighter-details/c482c8605455a213
Wes,Albritton,,"5' 10""",188 lbs.,--,Orthodox,0,1,0,,http://ufcstats.com/fighter-details/184b955181bdef52
Aleksandra,Albu,Stitch,"5' 2""",115 lbs.,"63.0""",Orthodox,3,2,0,,http://ufcstats.com/fighter-details/e76d9f656ceb82ab
Israel,Albuquerque,,--,185 lbs.,--,Orthodox,0,3,0,,http://ufcstats.com/fighter-details/dd1b90eea08887f6
Juan,Alcain,,--,--,--,,1,2,0,,http://ufcstats.com/fighter-details/39f62b833e4cf126
Iuri,Alcantara,Marajo,"5' 9""",135 lbs.,"71.0""",Southpaw,35,10,0,,http://ufcstats.com/fighter-details/2f95a3c6d58b2aad
Ildemar,Alcantara,Marajo,"6' 2""",185 lbs.,"78.0""",Orthodox,21,11,0,,http://ufcstats.com/fighter-details/7c6e87729e824ef4
Alfonso,Alcarez,,"5' 3""",145 lbs.,--,,1,3,1,,http://ufcstats.com/fighter-details/1e38bba6738b7b10
Gilbert,Aldana,El Peligro,"6' 1""",250 lbs.,--,Orthodox,6,2,0,,http://ufcstats.com/fighter-details/d26934530dc5b248
Irene,Aldana,,"5' 9""",135 lbs.,"68.0""",Orthodox,15,8,0,,http://ufcstats.com/fighter-details/578ef12674df1e6a
Hector,Aldana,,"5' 11""",170 lbs.,"72.0""",Orthodox,4,3,0,,http://ufcstats.com/fighter-details/c487223b0289bda9
Jose,Alday,Pochito,"5' 7""",135 lbs.,"68.0""",Orthodox,14,6,1,,http://ufcstats.com/fighter-details/7460ddef986d3144
Jose,Aldo,,"5' 7""",135 lbs.,"70.0""",Orthodox,32,10,0,,http://ufcstats.com/fighter-details/d0f3959b4a9747e6
JJ,Aldrich,,"5' 5""",125 lbs.,"67""",Southpaw,15,7,0,,http://ufcstats.com/fighter-details/6fd953151d981979
Irina,Alekseeva,Russian Ronda,"5' 8""",135 lbs.,"67.0""",Orthodox,5,4,0,,http://ufcstats.com/fighter-details/103e2e33a60683e1
Talita,Alencar,Problem Child,"5' 1""",115 lbs.,"58.0""",Orthodox,8,1,1,,http://ufcstats.com/fighter-details/d35298b6df168456
Jim,Alers,The Beast,"5' 9""",145 lbs.,"71.0""",Orthodox,13,3,0,,http://ufcstats.com/fighter-details/fe5a9547479396ab
John,Alessio,The Natural,"5' 10""",155 lbs.,"72.0""",Orthodox,35,17,0,,http://ufcstats.com/fighter-details/7a15f3694c5cbc02
Houston,Alexander,The Assassin,"6' 0""",205 lbs.,"72.0""",Orthodox,17,15,1,,http://ufcstats.com/fighter-details/0541480fbf719d86
Kenneth,Alexander,The Machine,"5' 9""",155 lbs.,--,Orthodox,7,6,0,,http://ufcstats.com/fighter-details/8fd76e1b49c00ae2
Lucas,Alexander,The Lion,"5' 11""",145 lbs.,"73.0""",Orthodox,8,5,0,,http://ufcstats.com/fighter-details/11583163f45c7b31
Marcio,Alexandre Junior,Lyoto,"6' 0""",185 lbs.,"75.0""",Southpaw,17,4,0,,http://ufcstats.com/fighter-details/d53482bef23235ba
Olaf,Alfonso,,"6' 2""",170 lbs.,--,Orthodox,8,12,0,,http://ufcstats.com/fighter-details/b757c73f443d4fca
Pablo,Alfonso,The Hurricane,"5' 8""",145 lbs.,--,,9,7,0,,http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1
Levi,Alford,,--,--,--,,1,7,0,,http://ufcstats.com/fighter-details/41b34b7f11f6d085
Bill,Algeo,Senor Perfecto,"6' 0""",145 lbs.,"73.0""",Switch,18,9,0,,http://ufcstats.com/fighter-details/9abc648e76c4493a
Royce,Alger,,"5' 10""",199 lbs.,--,Orthodox,3,2,0,,http://ufcstats.com/fighter-details/669a3cb6e394f515
Amir,Aliakbari,,"6' 3""",250 lbs.,--,,10,1,0,,http://ufcstats.com/fighter-details/e17770faae3ca54c
Sultan,Aliev,,"5' 11""",170 lbs.,"74.0""",Orthodox,15,3,0,,http://ufcstats.com/fighter-details/e70de1859b7ee78e
Nurullo,Aliev,Tajik Eagle,"5' 10""",155 lbs.,"72""",Orthodox,12,0,0,,http://ufcstats.com/fighter-details/ca28cdf526d6b6e9
Kimbert,Alintozon,The Hunter,--,135 lbs.,--,,7,3,0,,http://ufcstats.com/fighter-details/a075a34d7527fadf
Ikram,Aliskerov,,"6' 0""",185 lbs.,"76.0""",Southpaw,17,2,0,,http://ufcstats.com/fighter-details/b07aed698fba8624
Leon,Aliu,The Albanian Lion,"6' 0""",185 lbs.,"74.0""",Orthodox,10,2,0,,http://ufcstats.com/fighter-details/6db394bf6c3b017c
John,Allan,,"6' 1""",205 lbs.,"75.0""",Orthodox,13,7,0,,http://ufcstats.com/fighter-details/6ebe96a116e79e52
George,Allen,,"6' 2""",205 lbs.,--,Open Stance,13,19,2,,http://ufcstats.com/fighter-details/1e13936d708bcff7
Arnold,Allen,Almighty,"5' 8""",145 lbs.,"70""",Southpaw,21,4,0,,http://ufcstats.com/fighter-details/040a74bb0a465c54
Brendan,Allen,All In,"6' 2""",185 lbs.,"75.0""",Orthodox,26,7,0,,http://ufcstats.com/fighter-details/2f181c0467965b98
Daniel,Allen,,"6' 0""",155 lbs.,"75.0""",Southpaw,5,0,0,,http://ufcstats.com/fighter-details/adf9a901308fb8e3
Ben,Alloway,Blanco,"5' 11""",170 lbs.,"76.0""",Orthodox,18,8,0,,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb
Asu,Almabayev,Zulfikar,"5' 4""",125 lbs.,"65.0""",Orthodox,23,3,0,,http://ufcstats.com/fighter-details/8d3273573b85be09
Bekzat,Almakhan,The Turan Warrior,"5' 7""",135 lbs.,"68.0""",Orthodox,12,3,0,,http://ufcstats.com/fighter-details/a4dc0f2b95df4cc1
John Dave,Almanza,The Striker,"5' 7""",125 lbs.,"67.0""",Southpaw,6,1,0,,http://ufcstats.com/fighter-details/088aa1b19b2dc14a
Ricardo,Almeida,Big Dog,"6' 0""",170 lbs.,"74.0""",Orthodox,13,5,0,,http://ufcstats.com/fighter-details/91186547a7f3f758
Magno,Almeida,,"6' 0""",155 lbs.,--,,10,3,0,,http://ufcstats.com/fighter-details/d615d6a10a4704cd
Thomas,Almeida,Thominhas,"5' 7""",145 lbs.,"70.0""",Southpaw,22,5,0,,http://ufcstats.com/fighter-details/2b074403b7c6cdb4
Ericka,Almeida,,"5' 6""",115 lbs.,--,Orthodox,7,3,0,,http://ufcstats.com/fighter-details/67a992d4cff22466
Estefani,Almeida,,"5' 4""",125 lbs.,--,Orthodox,7,3,0,,http://ufcstats.com/fighter-details/f16ddfa31236efed
Jailton,Almeida,Malhadinho,"6' 3""",225 lbs.,"79.0""",Orthodox,22,5,0,,http://ufcstats.com/fighter-details/41e83a89929d1327
Lucas,Almeida,,"5' 11""",145 lbs.,"71.0""",Orthodox,15,5,0,,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41
Cesar,Almeida,Cesinha,"6' 1""",185 lbs.,"74.0""",Orthodox,7,2,0,,http://ufcstats.com/fighter-details/64d47ef881a437a4
Mauricio,Alonso,,"6' 2""",170 lbs.,--,,13,7,0,,http://ufcstats.com/fighter-details/c6bf75775b278ed8
Sarah,Alpar,Too Sweet,"5' 4""",135 lbs.,"63.0""",Southpaw,9,6,0,,http://ufcstats.com/fighter-details/49b130de1da2e1bf
Ali,AlQaisi,The Royal Fighter,"5' 6""",135 lbs.,"68.0""",Orthodox,8,5,0,,http://ufcstats.com/fighter-details/e87a13e02c01331d
Rico,Altamirano,,"5' 10""",170 lbs.,--,,4,3,0,,http://ufcstats.com/fighter-details/c61b49cec6abd6b9
Victor,Altamirano,El Magnifico,"5' 8""",125 lbs.,"70.0""",Switch,12,5,0,,http://ufcstats.com/fighter-details/dc7927cd622676a7
Mike,Altman,,"5' 10""",185 lbs.,--,Orthodox,1,4,0,,http://ufcstats.com/fighter-details/c11036da9162cb5f
Patricia,Alujas,The Angel,"5' 4""",115 lbs.,"64.0""",Orthodox,9,3,0,,http://ufcstats.com/fighter-details/430c533614d45813
Sean,Alvarez,,"6' 0""",235 lbs.,--,Orthodox,4,3,0,,http://ufcstats.com/fighter-details/e741536153227386
Eddie,Alvarez,,"5' 9""",155 lbs.,"69.0""",Orthodox,29,6,0,,http://ufcstats.com/fighter-details/33a331684283900f
Jaime,Alvarez,,"5' 8""",125 lbs.,"69.0""",Orthodox,6,1,0,,http://ufcstats.com/fighter-details/4438482bd1d5a029
Joel,Alvarez,El Fenomeno,"6' 3""",170 lbs.,"77.0""",Orthodox,23,4,0,,http://ufcstats.com/fighter-details/58bbef3770bb2dfc
Thiago,Alves,Pitbull,"5' 9""",170 lbs.,"70.0""",Orthodox,23,15,0,,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f
Anthony,Alves,,--,--,--,,1,4,0,,http://ufcstats.com/fighter-details/bd92cf5da5413d2a
Amilcar,Alves,,"6' 0""",170 lbs.,--,Southpaw,15,12,0,,http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc
Warlley,Alves,,"5' 11""",185 lbs.,"72.0""",Orthodox,15,8,0,,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f
Rafael,Alves,The Turn,"5' 8""",155 lbs.,"68.0""",Orthodox,20,12,0,,http://ufcstats.com/fighter-details/029afd138865d20a
Sam,Alvey,Smile'N,"6' 2""",185 lbs.,"75.0""",Southpaw,33,18,1,,http://ufcstats.com/fighter-details/d156513a19acf856
Christopher,Alvidrez,The Newborn,"6' 0""",170 lbs.,"74.0""",Orthodox,7,1,0,,http://ufcstats.com/fighter-details/f4abf9aeda861283
Mahamed,Aly,,"6' 2""",205 lbs.,"78.0""",Orthodox,4,1,0,,http://ufcstats.com/fighter-details/86c1441676af2c73
Andre,Amado,Dida,"6' 0""",154 lbs.,--,Orthodox,6,4,1,,http://ufcstats.com/fighter-details/20821819c401ced8
Adlan,Amagov,Borz,"6' 2""",170 lbs.,"76.0""",Orthodox,14,2,1,,http://ufcstats.com/fighter-details/1e327b281ef6a745
Maiara,Amanajas dos Santos,,"5' 5""",115 lbs.,--,Southpaw,7,3,0,,http://ufcstats.com/fighter-details/247fbbfafea60bb1
Chris,Amarante,,--,185 lbs.,--,,2,0,0,,http://ufcstats.com/fighter-details/ee0b69e307c857e5
Jimmy,Ambriz,The Titan,"6' 2""",315 lbs.,--,Southpaw,17,21,1,,http://ufcstats.com/fighter-details/c912f676692c353a
JJ,Ambrose,,"5' 10""",170 lbs.,--,Orthodox,28,7,0,,http://ufcstats.com/fighter-details/d562b12b8fe88336
Alen,Amedovski,,"5' 10""",185 lbs.,"74.0""",Orthodox,8,4,0,,http://ufcstats.com/fighter-details/70fa1c64a2c439ef
Hyder,Amil,The Hurricane,"5' 9""",145 lbs.,"70.0""",Switch,11,2,0,,http://ufcstats.com/fighter-details/41cc71cbf210e0fe
Hamid,Amiri,The Storm,--,145 lbs.,--,,9,0,0,,http://ufcstats.com/fighter-details/6c40705cf6c0d7e2
Makwan,Amirkhani,Mr. Finland,"5' 10""",145 lbs.,"72.0""",Southpaw,17,9,0,,http://ufcstats.com/fighter-details/87a1dc546b1c5caf
Jaqueline,Amorim,,"5' 3""",115 lbs.,"68.0""",Orthodox,10,2,0,,http://ufcstats.com/fighter-details/bc7d1ad49fcb2d08
Yaroslav,Amosov,,"6' 0""",170 lbs.,"75.0""",Orthodox,30,1,0,,http://ufcstats.com/fighter-details/f139d6836efd43dd
Bertrand,Amoussou,,"5' 8""",190 lbs.,--,Orthodox,1,1,0,,http://ufcstats.com/fighter-details/53adf5b845d91e4a
Karl,Amoussou,The Psycho,"5' 11""",185 lbs.,--,Orthodox,27,7,2,,http://ufcstats.com/fighter-details/23a8c33869bf5392
Eryk,Anders,Ya Boi,"6' 1""",185 lbs.,"75.0""",Southpaw,18,9,0,,http://ufcstats.com/fighter-details/cad24459b28592ca
Matt,Andersen,,"6' 2""",230 lbs.,--,Southpaw,14,8,1,,http://ufcstats.com/fighter-details/8738eacd62e82a32
Andy,Anderson,The Hammer,"5' 6""",240 lbs.,--,,0,1,0,,http://ufcstats.com/fighter-details/9199e0735b83dd32
Lowell,Anderson,,"5' 6""",160 lbs.,--,Orthodox,0,1,0,,http://ufcstats.com/fighter-details/1ffc38f67785797b
Corey,Anderson,Overtime,"6' 3""",205 lbs.,"79.0""",Orthodox,14,5,0,,http://ufcstats.com/fighter-details/5e4eec08896c9423
Derek,Anderson,Barbaric,"6' 0""",155 lbs.,--,,14,3,0,,http://ufcstats.com/fighter-details/19ba965651486013
Megan,Anderson,,"6' 0""",145 lbs.,"72.0""",Orthodox,11,5,0,,http://ufcstats.com/fighter-details/a0e75f4a13eb73f1
Liam,Anderson,,"6' 3""",185 lbs.,"75.0""",Orthodox,6,3,0,,http://ufcstats.com/fighter-details/b03a0c78ca45facf
Tatsuya,Ando,Kirinji,"5' 4""",145 lbs.,"68.0""",Southpaw,14,4,1,,http://ufcstats.com/fighter-details/17615148dd4be6f6
Alex,Andrade,El Toro,"5' 11""",200 lbs.,--,Orthodox,10,5,0,,http://ufcstats.com/fighter-details/1562b12763cc8d67
Jessica,Andrade,Bate Estaca,"5' 1""",115 lbs.,"62.0""",Orthodox,26,15,0,,http://ufcstats.com/fighter-details/6a1901c62ab3870f
Viscardi,Andrade,,"5' 11""",170 lbs.,"75.0""",Orthodox,19,6,0,,http://ufcstats.com/fighter-details/d221ee27afc7a60e
Jermaine,Andre,,"5' 7""",200 lbs.,--,Orthodox,14,4,0,,http://ufcstats.com/fighter-details/9bad58fa651d6196
Fellipe,Andrew,,--,--,--,,0,0,0,,http://ufcstats.com/fighter-details/7977fb0fd9c5955d
Dylan,Andrews,The Villain,"6' 1""",185 lbs.,"74.0""",Switch,18,7,0,,http://ufcstats.com/fighter-details/00debc804e2b1cd4
Reese,Andy,Riptide,"6' 0""",205 lbs.,--,Orthodox,7,3,0,,http://ufcstats.com/fighter-details/46e2ca71fd5089cb
,Angga,The Hitman,"5' 7""",145 lbs.,"68.0""",Orthodox,13,3,0,,http://ufcstats.com/fighter-details/d6a3e131ad4ba064
Julius,Anglickas,,"6' 3""",205 lbs.,--,Orthodox,5,1,0,,http://ufcstats.com/fighter-details/e20ad078a7d63361
Collin,Anglin,,"5' 9""",145 lbs.,"71.0""",Orthodox,8,3,0,,http://ufcstats.com/fighter-details/047a91d3d9c79b05
Chad,Anheliger,The Monster,"5' 6""",135 lbs.,"64""",Orthodox,13,8,0,,http://ufcstats.com/fighter-details/c7c39e2fb70248b3
Yoji,Anjo,Mr. 200%,"5' 11""",205 lbs.,--,Orthodox,0,5,1,,http://ufcstats.com/fighter-details/e06fd1260ac865a7
Magomed,Ankalaev,,"6' 3""",205 lbs.,"75.0""",Orthodox,21,2,1,,http://ufcstats.com/fighter-details/d802174b0c0c1f4e
Gadzhimurad,Antigulov,,"5' 11""",205 lbs.,"70.0""",Orthodox,20,8,0,,http://ufcstats.com/fighter-details/af997f7611673880
Adam,Antolin,Captain Chaos,"5' 5""",125 lbs.,"63.0""",Orthodox,12,3,0,,http://ufcstats.com/fighter-details/25b31165758402dd
Angelo,Antonio,,--,205 lbs.,--,Orthodox,1,4,0,,http://ufcstats.com/fighter-details/dbd198f780286aca
Vanilto,Antunes,,"6' 0""",170 lbs.,"72.0""",Orthodox,16,7,0,,http://ufcstats.com/fighter-details/cc49ada1ea955b13
Azunna,Anyanwu,Zulu,"6' 1""",251 lbs.,--,Orthodox,14,5,0,,http://ufcstats.com/fighter-details/78d48d3874dacafd
Shinsho,Anzai,Animal,"5' 7""",170 lbs.,"70.0""",Orthodox,10,3,0,,http://ufcstats.com/fighter-details/4665f9f909cd7214
Jin,Aoi,,"5' 6""",145 lbs.,"68.0""",Orthodox,14,6,1,,http://ufcstats.com/fighter-details/031da10a00c8ccd4
Shinya,Aoki,Tobikan Judan,"5' 11""",154 lbs.,--,Southpaw,39,7,0,,http://ufcstats.com/fighter-details/79ded75550efc139
,Aoriqileng,The Mongolian Murderer,"5' 7""",135 lbs.,"69.0""",Orthodox,26,12,0,,http://ufcstats.com/fighter-details/7d420039bbfe7c1a
Josh,Appelt,,"5' 10""",255 lbs.,--,Southpaw,15,7,0,,http://ufcstats.com/fighter-details/0c1a04afca64e38f
Erik,Apple,,"6' 0""",170 lbs.,--,Orthodox,10,3,0,,http://ufcstats.com/fighter-details/1ccff7f0cfdf85eb
Kenji,Arai,,"5' 10""",145 lbs.,--,Southpaw,15,15,5,,http://ufcstats.com/fighter-details/269d103c96a4c3a5
Romie,Aram,,"5' 10""",170 lbs.,--,Orthodox,7,1,0,,http://ufcstats.com/fighter-details/73ef22f25d0f70e2
Felipe,Arantes,Sertanejo,"5' 8""",135 lbs.,"73.0""",Orthodox,18,10,1,,http://ufcstats.com/fighter-details/71002dbc1743b9a7
Igor,Araujo,,"6' 1""",170 lbs.,"77.0""",Orthodox,25,9,0,,http://ufcstats.com/fighter-details/dbea8c1cb327ab3d
Viviane,Araujo,Vivi,"5' 4""",125 lbs.,"68.0""",Orthodox,13,7,0,,http://ufcstats.com/fighter-details/36541f1e6c5d4955
Julio,Arce,,"5' 7""",145 lbs.,"70.0""",Southpaw,19,6,0,,http://ufcstats.com/fighter-details/1291edf2d566a71a
Art,Arciniega,King Arthur,"5' 8""",145 lbs.,--,,15,7,0,,http://ufcstats.com/fighter-details/d25e39e74efb0a77
Alice,Ardelean,,"5' 3""",115 lbs.,"62.0""",Orthodox,12,7,0,,http://ufcstats.com/fighter-details/87f8699fdcc2c404
Tristan,Arenal,,--,155 lbs.,--,,7,4,0,,http://ufcstats.com/fighter-details/9c9455912d917e4e
Gabriel,Arges,,--,170 lbs.,--,,0,0,0,,http://ufcstats.com/fighter-details/db3c4a884d704efe
Dan,Argueta,The Determined,"5' 7""",135 lbs.,"68.0""",Southpaw,9,3,0,,http://ufcstats.com/fighter-details/e4ba58725825412d
Reza,Arianto,The Crazy Lion,--,155 lbs.,--,,5,0,0,,http://ufcstats.com/fighter-details/90063913321e7670
Ryoga,Arimoto,,--,125 lbs.,--,,10,1,2,,http://ufcstats.com/fighter-details/e0e1801e8721af17
Hashem,Arkhagha,,"6' 2""",185 lbs.,"75.0""",Orthodox,6,1,0,,http://ufcstats.com/fighter-details/9a7ffa80766caa51
Andrei,Arlovski,The Pitbull,"6' 3""",240 lbs.,"77.0""",Orthodox,34,24,0,,http://ufcstats.com/fighter-details/3738e68d2261e60f
Garrett,Armfield,,"5' 6""",135 lbs.,"70.0""",Orthodox,10,5,0,,http://ufcstats.com/fighter-details/1effd880e1f1bb30
Joey,Armstrong,,--,--,--,,5,2,0,,http://ufcstats.com/fighter-details/30ad2050273d016a
Austin,Arnett,,"6' 0""",145 lbs.,"72.0""",Orthodox,16,6,0,,http://ufcstats.com/fighter-details/bf0e700106d00e55
Ricardo,Arona,The Brazilian Tiger,"5' 11""",205 lbs.,--,Orthodox,14,5,0,,http://ufcstats.com/fighter-details/05fbfe628658c538
Eli,Aronov,The Israeli Tank,"5' 10""",185 lbs.,"72.0""",Orthodox,6,1,0,,http://ufcstats.com/fighter-details/a90c200c3fbb22c4
Chalid,Arrab,Die Faust,"5' 11""",205 lbs.,--,Orthodox,7,3,0,,http://ufcstats.com/fighter-details/770b9d4813c25902
Akbarh,Arreola,El Caballero,"5' 10""",155 lbs.,"71.0""",Southpaw,23,11,1,,http://ufcstats.com/fighter-details/c136b2a8852da5bd
Matt,Arroyo,No Regard,"5' 10""",170 lbs.,"72.0""",Orthodox,3,3,0,,http://ufcstats.com/fighter-details/de62052b2ede65ba
Antonio,Arroyo,,"6' 3""",185 lbs.,"73.0""",Orthodox,9,5,0,,http://ufcstats.com/fighter-details/61fb8098ccf81c7f
Gilles,Arsene,,"5' 9""",190 lbs.,--,Southpaw,1,1,0,,http://ufcstats.com/fighter-details/2dea80c069847321
Veta,Arteaga,,"5' 7""",125 lbs.,--,,3,1,0,,http://ufcstats.com/fighter-details/91e3388e69060e69
Cesar,Arzamendia,Goku,"5' 11""",155 lbs.,--,Orthodox,8,3,0,,http://ufcstats.com/fighter-details/49f78022126bf4a4
Kai,Asakura,,"5' 8""",135 lbs.,"69.0""",Orthodox,21,6,0,,http://ufcstats.com/fighter-details/d33da8a3d82bdb62
