first_name,last_name,nickname,height,weight,reach,stance,wins,losses,draws,belt,fighter_url
Bruno,Korea,,"5' 6""",135 lbs.,"65.0""",,7,3,0,,http://ufcstats.com/fighter-details/6c011be66326ad97
Chungreng,Koren,The Indian Rhino,--,135 lbs.,--,,7,1,0,,http://ufcstats.com/fighter-details/000774e57404d8c7
Andrey,Koreshkov,Spartan,"6' 0""",170 lbs.,--,,19,2,0,,http://ufcstats.com/fighter-details/aee885b8ca29ab4f
Josh,Koscheck,,"5' 10""",170 lbs.,"73.0""",Orthodox,17,11,0,,http://ufcstats.com/fighter-details/dd37fd509af89f15
Steven,Koslow,Obi Won Shinobi The Pillow,"5' 7""",135 lbs.,"69""",Switch,6,1,0,,http://ufcstats.com/fighter-details/84512339473dd300
Naoyuki,Kotani,,"5' 8""",155 lbs.,"66.0""",Southpaw,34,14,7,,http://ufcstats.com/fighter-details/bc8f6b42767e28df
Ilya,Kotau,,--,170 lbs.,--,,1,2,0,,http://ufcstats.com/fighter-details/a68d57ae177a5815
Iouri,Kotchkine,,"6' 2""",235 lbs.,--,Orthodox,7,4,1,,http://ufcstats.com/fighter-details/c6becb722706c7d8
Matt,Kovacs,300,"6' 0""",244 lbs.,--,Orthodox,12,16,0,,http://ufcstats.com/fighter-details/8fbcd82bf7f352bf
Marcus,Kowal,,--,135 lbs.,--,,3,1,1,,http://ufcstats.com/fighter-details/ad0e42800a0d8977
Karolina,Kowalkiewicz,,"5' 3""",115 lbs.,"64.0""",Orthodox,16,10,0,,http://ufcstats.com/fighter-details/d7c3816669784109
Steve,Kozola,,--,155 lbs.,--,,8,0,0,,http://ufcstats.com/fighter-details/fc36e2352dccf2a4
Derrick,Krantz,D-Rock,"5' 10""",170 lbs.,"72.0""",Orthodox,22,12,0,,http://ufcstats.com/fighter-details/714e1e0681ddb703
James,Krause,The,"6' 2""",170 lbs.,"73.0""",Orthodox,28,9,0,,http://ufcstats.com/fighter-details/8f6a18831a120817
Pascal,Krauss,Panzer,"6' 1""",170 lbs.,--,Orthodox,11,2,0,,http://ufcstats.com/fighter-details/a01e84abefd85ec0
Rene,Kronvold,,"5' 8""",170 lbs.,--,Orthodox,5,1,0,,http://ufcstats.com/fighter-details/db05271715bb4874
Kaynan,Kruschewsky,Bahia,"6' 0""",155 lbs.,"73.0""",Orthodox,15,3,0,,http://ufcstats.com/fighter-details/ca36633b80be4a78
Jorgen,Kruth,The Last Viking,"6' 2""",205 lbs.,--,,5,0,0,,http://ufcstats.com/fighter-details/6071d786f6187810
Nikita,Krylov,The Miner,"6' 3""",205 lbs.,"77""",Orthodox,31,12,0,,http://ufcstats.com/fighter-details/1091d4d957141094
Mariusz,Ksiazkiewicz,The Iron Pol,"6' 3""",185 lbs.,"75.0""",Southpaw,8,1,0,,http://ufcstats.com/fighter-details/ab16537dd1e5e81d
Eliezer,Kubanza,,"5' 9""",170 lbs.,"74.0""",Orthodox,7,1,0,,http://ufcstats.com/fighter-details/66579081831db7b0
Junya,Kudo,,--,135 lbs.,--,Orthodox,10,7,2,,http://ufcstats.com/fighter-details/487c170da059857d
John,Kuhner,,--,170 lbs.,--,,1,2,0,,http://ufcstats.com/fighter-details/a272656ad662ac53
